id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,last_activity
279468507,PurdueDualityLab/TensorFlowModels,https://api.github.com/repos/PurdueDualityLab/TensorFlowModels,29,12,2903,2,2,7,2021-11-30T17:21:06Z
131621053,TrustAI/DeepConcolic,https://api.github.com/repos/TrustAI/DeepConcolic,97,39,618,3,9,7,2021-07-16T09:13:04Z
143249816,alibaba/ai-matrix,https://api.github.com/repos/alibaba/ai-matrix,165,73,299,9,4,6,2022-02-10T02:03:24Z
159797814,MorvanZhou/NLP-Tutorials,https://api.github.com/repos/MorvanZhou/NLP-Tutorials,608,235,321,3,11,6,2022-02-10T01:56:01Z
194144428,IBM/depiction,https://api.github.com/repos/IBM/depiction,38,21,285,5,24,6,2022-02-10T00:24:06Z
81460066,oarriaga/face_classification,https://api.github.com/repos/oarriaga/face_classification,5180,1563,147,40,78,6,2022-02-09T23:32:20Z
204388414,bojone/bert4keras,https://api.github.com/repos/bojone/bert4keras,4091,794,1826,125,292,6,2022-01-30T14:54:48Z
153859755,CyberZHG/keras-bert,https://api.github.com/repos/CyberZHG/keras-bert,2281,504,142,0,201,6,2022-01-22T10:33:11Z
254741570,adriangb/scikeras,https://api.github.com/repos/adriangb/scikeras,90,17,186,26,76,6,2022-01-06T00:20:44Z
248271633,neptune-ai/neptune-examples,https://api.github.com/repos/neptune-ai/neptune-examples,22,13,138,0,5,6,2021-10-07T12:14:43Z
162141645,Merck/deepbgc,https://api.github.com/repos/Merck/deepbgc,54,20,152,10,27,6,2021-10-06T06:38:35Z
190687137,rasbt/python-machine-learning-book-3rd-edition,https://api.github.com/repos/rasbt/python-machine-learning-book-3rd-edition,2993,1312,228,14,60,6,2021-08-27T12:21:39Z
175305311,INK-USC/AlpacaTag,https://api.github.com/repos/INK-USC/AlpacaTag,122,19,376,12,3,6,2021-02-17T22:48:25Z
166622408,GantMan/nsfw_model,https://api.github.com/repos/GantMan/nsfw_model,864,172,103,45,37,6,2021-01-26T15:33:16Z
136420067,xulabs/projects,https://api.github.com/repos/xulabs/projects,33,11,272,3,2,6,2021-01-25T23:21:56Z
317930627,aiqc/AIQC,https://api.github.com/repos/aiqc/AIQC,57,16,638,24,29,5,2022-02-13T14:41:59Z
129458870,kermitt2/delft,https://api.github.com/repos/kermitt2/delft,324,57,530,25,40,5,2022-02-11T03:30:40Z
195387613,zurutech/ashpy,https://api.github.com/repos/zurutech/ashpy,86,11,256,24,17,5,2022-02-11T03:05:03Z
53871408,bio-ontology-research-group/phenomenet-vp,https://api.github.com/repos/bio-ontology-research-group/phenomenet-vp,26,12,183,5,4,5,2022-02-11T02:39:51Z
199943153,negrinho/deep_architect,https://api.github.com/repos/negrinho/deep_architect,116,13,492,3,4,5,2022-02-10T00:36:50Z
169527185,smellslikeml/ActionAI,https://api.github.com/repos/smellslikeml/ActionAI,508,153,131,23,15,5,2022-02-10T00:28:17Z
185262586,re-search/DocProduct,https://api.github.com/repos/re-search/DocProduct,518,141,333,21,11,5,2022-02-10T00:12:45Z
153459506,marl/openl3,https://api.github.com/repos/marl/openl3,266,42,327,18,39,5,2022-02-09T22:42:21Z
64230020,hcmlab/nova,https://api.github.com/repos/hcmlab/nova,131,28,1295,14,46,5,2022-02-08T14:22:47Z
200918764,HumanCompatibleAI/human_aware_rl,https://api.github.com/repos/HumanCompatibleAI/human_aware_rl,59,19,137,2,7,5,2022-02-01T00:22:26Z
225545436,datawhalechina/competition-baseline,https://api.github.com/repos/datawhalechina/competition-baseline,2605,795,274,0,14,5,2022-01-29T11:29:46Z
414875535,tianmiantech/WeFe,https://api.github.com/repos/tianmiantech/WeFe,63,14,782,2,5,5,2022-01-21T02:04:54Z
104427181,tensorflow/lattice,https://api.github.com/repos/tensorflow/lattice,483,89,104,5,49,5,2022-01-19T01:23:57Z
72968591,PPPLDeepLearning/plasma-python,https://api.github.com/repos/PPPLDeepLearning/plasma-python,71,38,1114,19,9,5,2022-01-12T21:03:04Z
91767564,philipperemy/deep-speaker,https://api.github.com/repos/philipperemy/deep-speaker,687,212,344,0,73,5,2022-01-12T08:22:50Z
141228949,tracholar/ml-homework-cz,https://api.github.com/repos/tracholar/ml-homework-cz,21,10,348,0,1,5,2021-10-22T11:10:43Z
61832342,openeventdata/mordecai,https://api.github.com/repos/openeventdata/mordecai,636,84,233,19,69,5,2021-09-17T11:54:38Z
71860524,teinhonglo/Information-retrieval,https://api.github.com/repos/teinhonglo/Information-retrieval,52,32,412,1,4,5,2021-09-05T05:51:03Z
192155460,dragen1860/Deep-Learning-with-TensorFlow-book,https://api.github.com/repos/dragen1860/Deep-Learning-with-TensorFlow-book,12189,3959,151,73,148,5,2021-08-30T10:54:30Z
275100993,PacktPublishing/Tensorflow-2-Reinforcement-Learning-Cookbook,https://api.github.com/repos/PacktPublishing/Tensorflow-2-Reinforcement-Learning-Cookbook,85,52,317,1,17,5,2021-08-13T23:20:37Z
82329392,hep-lbdl/CaloGAN,https://api.github.com/repos/hep-lbdl/CaloGAN,96,59,153,5,1,5,2021-06-24T16:46:15Z
269934921,HealthML/self-supervised-3d-tasks,https://api.github.com/repos/HealthML/self-supervised-3d-tasks,121,26,509,1,19,5,2021-05-25T14:19:05Z
248081435,GoogleCloudPlatform/ml-design-patterns,https://api.github.com/repos/GoogleCloudPlatform/ml-design-patterns,1057,277,147,19,7,5,2021-04-28T23:11:45Z
300070966,IVPLatNU/DeepCovidXR,https://api.github.com/repos/IVPLatNU/DeepCovidXR,13,10,188,4,4,5,2021-03-06T13:59:50Z
133389964,geomstats/applications,https://api.github.com/repos/geomstats/applications,24,10,143,1,5,5,2021-03-06T00:04:29Z
180587550,keiohta/tf2rl,https://api.github.com/repos/keiohta/tf2rl,407,92,985,36,79,4,2022-02-13T02:49:47Z
185998708,digantamisra98/Mish,https://api.github.com/repos/digantamisra98/Mish,1185,124,2404,1,29,4,2022-02-12T19:52:12Z
22489033,lazyprogrammer/machine_learning_examples,https://api.github.com/repos/lazyprogrammer/machine_learning_examples,6541,5536,343,30,15,4,2022-02-12T05:01:07Z
161178225,omegaml/omegaml,https://api.github.com/repos/omegaml/omegaml,74,10,159,35,25,4,2022-02-11T14:34:41Z
164525439,dolongbien/HumanBehaviorBKU,https://api.github.com/repos/dolongbien/HumanBehaviorBKU,92,46,150,11,7,4,2022-02-11T02:55:25Z
173690466,jason9693/MusicTransformer-tensorflow2.0,https://api.github.com/repos/jason9693/MusicTransformer-tensorflow2.0,280,69,119,17,3,4,2022-02-11T02:51:36Z
136194704,CSBDeep/CSBDeep,https://api.github.com/repos/CSBDeep/CSBDeep,187,60,299,16,38,4,2022-02-10T20:03:22Z
245462564,AIWintermuteAI/aXeleRate,https://api.github.com/repos/AIWintermuteAI/aXeleRate,140,56,257,1,50,4,2022-02-10T09:47:22Z
254662819,digitalepidemiologylab/covid-twitter-bert,https://api.github.com/repos/digitalepidemiologylab/covid-twitter-bert,143,20,394,5,12,4,2022-02-10T01:41:56Z
234535910,CrawlScript/tf_geometric,https://api.github.com/repos/CrawlScript/tf_geometric,362,74,256,8,8,4,2022-02-10T01:17:37Z
416559888,CLUEbenchmark/KgCLUE,https://api.github.com/repos/CLUEbenchmark/KgCLUE,127,32,116,2,2,4,2022-01-28T06:58:54Z
104820730,imyoungyang/myAWSStudyBlog,https://api.github.com/repos/imyoungyang/myAWSStudyBlog,86,44,307,0,2,4,2022-01-04T14:41:39Z
125326602,PacktPublishing/Advanced-Deep-Learning-with-Keras,https://api.github.com/repos/PacktPublishing/Advanced-Deep-Learning-with-Keras,1202,730,435,0,16,4,2022-01-02T01:35:51Z
185136269,burke86/astro_rcnn,https://api.github.com/repos/burke86/astro_rcnn,25,10,200,5,1,4,2021-12-17T00:18:52Z
94341587,datarobot/pic2vec,https://api.github.com/repos/datarobot/pic2vec,31,12,274,3,14,4,2021-11-15T17:47:01Z
64746852,leriomaggio/deep-learning-keras-tensorflow,https://api.github.com/repos/leriomaggio/deep-learning-keras-tensorflow,2874,1288,129,8,9,4,2021-10-30T02:46:04Z
134406154,BIMSBbioinfo/janggu,https://api.github.com/repos/BIMSBbioinfo/janggu,215,26,872,0,27,4,2021-09-29T08:17:16Z
110171294,DCASE-REPO/dcase_util,https://api.github.com/repos/DCASE-REPO/dcase_util,109,29,728,0,10,4,2021-08-04T20:56:21Z
194924868,ornlpmcp/ASCENDS,https://api.github.com/repos/ornlpmcp/ASCENDS,40,16,132,3,6,4,2021-05-18T17:03:50Z
126377943,greenelab/BioBombe,https://api.github.com/repos/greenelab/BioBombe,50,20,234,0,52,4,2021-05-12T15:05:23Z
257932939,PacktPublishing/Learn-Amazon-SageMaker,https://api.github.com/repos/PacktPublishing/Learn-Amazon-SageMaker,90,76,210,7,6,4,2021-04-26T16:29:07Z
